Date,SentimentScore,Sentiment,Review,SentimentNum
3/21/2018,0.44034090909090906,Positive,"Cody did a great job. It was my first time and I needed a new barber. Cody, if you can find Toppik for hair let me know, I'd buy from you! Thanks again, love the haircut and ambience of this place! 5 Stars!",0
2/27/2018,0.480952380952381,Positive,Great place when you need to be looking your best. My son will only go here for his cut and clean ups. Overall the best legit barber in the area. Highly recommend!,0
12/13/2017,0.21666666666666667,Positive,This an old fashioned yet hip style men's barber shop.Mike is super friendly.And knowldegable.knows every style.,0
12/30/2017,0.55,Positive,Great owner. Great cuts. True barbershop. They have Playboy magazines. Enough said. Great spot for a cut.,0
5/13/2017,0.75,Positive,My three boys all come here for their gentlemen haircut. They love it here. Great customer service!,0
1/26/2017,0.6325000000000001,Positive,"Walked by this shop and popped in to see if they could do a women's undercut with a design, and they happily obliged. Mike and Cody did an awesome job and were both very friendly and funny. I absolutely love my hair!",0
12/13/2016,0.29302721088435374,Positive,"Best..haircut..ever! It's wild how noticeably better of a haircut I received from Mike at Main Street than I've been receiving from my regular barber, and I thought my regular barber always did a great job. Excellent fade work right into my beard, and the hard point is spot on. I had just trimmed my beard this morning, and thought I did a decent job of it :/ Mike finished what I started and it made a world of a difference. Guess I should leave it to the pros. Excellent work guys I'll be back for sure!",0
11/14/2016,0.08327335858585859,Positive,"Are you looking for a drunk to cut you hair really really fast while not paying attention? Are you looking for a place to pay extra for a beard trim and for them to completely mess up your facial hair? Or how about being talked down to and being told to shut up or he'll shave you mustache off? Or maybe you're interested in hearing how high this guy was last night and how he thinks he might STILL be high? Well if you are looking for all that and more, this is the place for you! There's a reason this place never has a wait! Do yourself a favor and drive to Sunset Beach and go to Harbor Barber!",0
7/29/2015,-0.04318181818181818,Negative,"Terrible Experience! I came here because my barber, Luis, who works at another shop now, couldn't see me but I needed a cut fast for an event.  When I came back I told Mike that Luis couldn't see me and when I asked if he could fit me in he goes off on me for coming to him because I couldn't see Luis. I then left and said I can go somewhere else. To this, Mike replied ""I don't give a f**k"" and I said as I left ""goodbye"". Mike then storms out of the store and berated me saying ""What did you say? What did you say?"" as I was leaving.  I remembered why I was so excited to see Luis at his new shop because Mike makes clients uncomfortable. EDIT: after the harassment I recieved online from Mike I'm downgrading my review to one star.",1
9/15/2017,0.4333333333333333,Positive,"Best hair cut! $20 for a regular men's cut. Mike is fantastic. A talented barber, businessman and entertaining guy. I'm now a regular. He offered me lunch. I just eat so I passed.",0
